代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
91665415175929856, 001500, 0P00016BVS, 泓德远见回报混合, 积极配置型, 4, 4, -5.63
91665415939293184, 110012, F0000004DI, 易方达科汇灵活配置混合, 积极配置型, 4, 3, 12.58
91665416677490688, 005874, 0P0001DDPH, 建信创业板ETF联接C, 普通股票型, 4, 0, 10.17
91665417361162240, 000527, 0P00011RK1, 南方新优享灵活配置混合A, 积极配置型, 4, 5, -2.63
91665418162274304, 161219, 0P0000UINU, 国投瑞银新兴产业混合(LOF), 积极配置型, 4, 4, -1.32
91665436352970752, 001593, 0P00016BJG, 天弘创业板ETF联接C, 普通股票型, 4, 2, 8.15
91665437212803072, 000471, 0P00011MXO, 富国城镇发展股票, 普通股票型, 4, 1, 4.77
91665438039080960, 003298, 0P00018Q6X, 嘉实物流产业股票A, 普通股票型, 4, 0, 14.85
91665439221874688, 340006, F00000040Q, 兴全全球视野股票, 普通股票型, 4, 3, 7.62
91665439981043712, 004877, 0P0001BCBJ, 汇添富全球医疗保健混合(QDII)人民币, 环球股债混合, 4, 0, 33.42
91665440668909568, 000017, 0P0000Y35B, 财通可持续发展主题混合, 积极配置型, 4, 3, -8.80
91665441432272896, 004878, 0P0001BCBK, 汇添富全球医疗保健混合(QDII)美元现汇, 环球股债混合, 4, 0, 32.95
91665442266939392, 003299, 0P00018Q6Y, 嘉实物流产业股票C, 普通股票型, 4, 0, 14.46
91665442979971072, 700002, 0P0000UN6E, 平安深证300指数增强, 普通股票型, 4, 3, 7.49
91665443776888832, 160512, 0P0000SVXI, 博时卓越品牌混合(LOF), 积极配置型, 4, 3, -4.26
91665444607361024, 540007, F0000004HT, 汇丰晋信中小盘股票, 普通股票型, 4, 3, -7.43
91665445332975616, 000884, 0P00014N9K, 民生加银优选股票, 普通股票型, 4, 5, -5.38
91665446469632000, 000594, 0P00012UG4, 大摩进取优选股票, 普通股票型, 4, 4, 9.37
91665447287521280, 005267, 0P0001BU8U, 嘉实价值精选股票, 沪港深股票型基金, 4, 0, 1.94
91665448113799168, 660012, 0P0000VPPL, 农银消费主题混合A, 积极配置型, 4, 3, -14.50
91665448864579584, 005741, 0P0001D3JL, 南方君信灵活配置混合A, 沪港深积极配置型, 4, 0, 7.02
91665450181591040, 519013, F000000417, 海富通风格优势混合, 积极配置型, 4, 2, -3.84
91665450915594240, 217009, F000000427, 招商核心价值混合, 积极配置型, 4, 3, -7.03
91665451611848704, 001397, 0P00016BJQ, 建信精工制造指数增强, 普通股票型, 4, 4, 15.78
91665452316491776, 004879, 0P0001BCBL, 汇添富全球医疗保健混合(QDII)美元现钞, 环球股债混合, 4, 0, 32.95
91665453180518400, 180018, F0000004F7, 银华和谐主题混合, 积极配置型, 4, 4, -2.07
91665453956464640, 001215, 0P00015U3T, 博时沪港深优质企业混合A, 沪港深积极配置型, 4, 4, 4.89
91665454719827968, 005534, 0P0001D4T7, 华夏新时代灵活配置混合（QDII）, 环球股债混合, 4, 0, -3.09
91665455441248256, 121006, F0000004A8, 国投瑞银稳健增长混合, 标准混合型, 4, 4, -0.15
91665456175251456, 005620, 0P0001CLDP, 中欧品质消费股票A, 沪港深股票型基金, 4, 0, -9.85
91665474567274496, 000684, 0P00014JR0, 长盛养老健康产业灵活配置混合, 积极配置型, 4, 4, 10.32
91665475951394816, 001691, 0P00016MC2, 南方香港成长灵活配置混合QDII, 环球股债混合, 4, 0, -15.21
91665476660232192, 560002, F00000041B, 益民红利成长混合, 积极配置型, 4, 2, -3.36
91665477394235392, 320012, 0P0000PQL7, 诺安主题精选混合, 积极配置型, 4, 5, -7.70
91665478119849984, 000082, 0P0000YNF7, 嘉实研究阿尔法股票, 普通股票型, 4, 4, 7.53
91665478941933568, 519193, 0P00019KQ2, 万家消费成长股票, 普通股票型, 4, 0, -6.28
91665479684325376, 290004, F00000041K, 泰信优质生活混合, 积极配置型, 4, 1, 4.56
91665480858730496, 001888, 0P00016S5T, 中欧盛世成长混合 (LOF) -E, 积极配置型, 4, 3, -15.77
91665481601122304, 004263, 0P0001A3YI, 华安沪港深机会混合, 沪港深积极配置型, 4, 0, -3.21
91665482347708416, 005351, 0P0001CGUD, 汇添富行业整合主题混合, 沪港深积极配置型, 4, 0, 1.99
91665483039768576, 002621, 0P00018836, 中欧消费主题股票A, 行业股票 - 消费, 4, 0, -9.86
91665483928961024, 001626, 0P00016GZV, 国泰央企改革股票, 普通股票型, 4, 4, -6.47
91665485409550336, 002229, 0P00017HOO, 华夏经济转型股票, 普通股票型, 4, 4, -4.00
91665486999191552, 002555, 0P00017MXH, 博时沪港深优质企业混合C, 沪港深积极配置型, 4, 4, 4.50
91665489188618240, 004995, 0P0001CAK7, 广发品牌消费股票A, 行业股票 - 消费, 4, 0, -16.79
91665490480463872, 450009, 0P0000Q3WN, 国富中小盘股票, 普通股票型, 4, 4, 6.09
91665491562594304, 003835, 0P0001985I, 鹏华沪深港新兴成长灵活配置混合, 沪港深积极配置型, 4, 0, -6.93
91665492242071552, 519987, F0000004GE, 长信恒利优势混合, 积极配置型, 4, 4, -9.34
91665492950908928, 005621, 0P0001CLDQ, 中欧品质消费股票C, 沪港深股票型基金, 4, 0, -10.38
91665493672329216, 003053, 0P00018H2U, 嘉实文体娱乐股票A, 行业股票 - 科技、传媒及通讯, 4, 0, 11.53
91665494393749504, 166011, 0P0000VDDB, 中欧盛世成长混合 (LOF) -A, 积极配置型, 4, 3, -15.76
91665495136141312, 001874, 0P000195H0, 前海开源沪港深价值精选灵活配置混合, 沪港深积极配置型, 4, 0, -5.79
91665495861755904, 005395, 0P0001CZCK, 泓德臻远回报灵活配置混合, 沪港深积极配置型, 4, 0, -15.35
91665496616730624, 001651, 0P00016DLN, 工银新蓝筹股票A, 普通股票型, 4, 4, 3.34
91665497631752192, 003054, 0P00018H2V, 嘉实文体娱乐股票C, 行业股票 - 科技、传媒及通讯, 4, 0, 11.16
91665516329959424, 005777, 0P0001D9DQ, 广发科技动力股票, 行业股票 - 科技、传媒及通讯, 4, 0, -11.76
91665517051379712, 004505, 0P00019ZC9, 博时新兴消费主题混合A, 积极配置型, 4, 0, -12.32
91665517865074688, 004686, 0P0001BEWJ, 华夏研究精选股票, 普通股票型, 4, 0, 2.42
91665518578106368, 202023, 0P0000S1IU, 南方优选成长混合A, 标准混合型, 4, 5, -5.00
91665519341469696, 001849, 0P00016TQS, 前海开源强势共识100强等权重股票, 普通股票型, 4, 3, 8.60
91665520067084288, 001193, 0P000163SF, 中金消费升级股票, 普通股票型, 4, 3, -17.38
91665520822059008, 001319, 0P000165B4, 农银汇理信息传媒主题股票, 行业股票 - 科技、传媒及通讯, 4, 4, -2.60
91665521585422336, 512520, 0P0001CZ35, 华泰柏瑞MSCI中国A股国际通ETF, 普通股票型, 4, 0, 3.48
91665522281676800, 180003, F0000003WI, 银华-道琼斯88指数 A, 普通股票型, 4, 4, -1.10
91665523024068608, 005284, 0P0001C458, 华商可转债债券C, 可转债基金, 4, 0, 28.06
91665523904872448, 000656, 0P0001356S, 前海开源沪深300指数, 普通股票型, 4, 3, 2.07
91665524722761728, 160419, 0P000162Z0, 华安中证证券公司, 行业股票 - 金融地产, 4, 2, -1.01
91665525494513664, 410008, F0000004I1, 华富中证100指数, 普通股票型, 4, 4, -1.66
91665526287237120, 233007, 0P0000NN33, 大摩卓越成长混合, 积极配置型, 4, 4, 1.84
91665527050600448, 004730, 0P0001BEWI, 建信量化事件驱动股票, 普通股票型, 4, 0, 9.95
91665527830740992, 001781, 0P000177T4, 建信现代服务业股票, 普通股票型, 4, 3, -4.80
91665528615075840, 004076, 0P00019FNQ, 国联安锐意成长混合, 积极配置型, 4, 0, -10.09
91665529290358784, 005264, 0P0001CPEL, 国都多策略混合, 标准混合型, 4, 0, -14.51
91665529990807552, 160133, 0P00013LTW, 南方天元新产业股票(LOF), 普通股票型, 4, 4, -11.51
91665530682867712, 005461, 0P0001CLTF, 南方希元可转债债券, 可转债基金, 4, 0, 13.63
91665531429453824, 005273, 0P0001C453, 华商可转债债券A, 可转债基金, 4, 0, 28.43
91665532180234240, 160213, F0000004J8, 国泰纳斯达克100指数(QDII), 美国股票, 4, 5, 16.47
91665532956180480, 513100, 0P0000YGCC, 国泰纳斯达克100 (QDII-ETF), 美国股票, 4, 4, 16.49
91665533652434944, 000834, 0P00014GRC, 大成纳斯达克100指数 (QDII), 美国股票, 4, 3, 16.40
91665534407409664, 502053, 0P00016DCH, 长盛中证全指证券公司指数（LOF）, 行业股票 - 金融地产, 4, 2, 0.86
91665552669409280, 000835, 0P00014IHW, 华润元大富时中国A50指数A, 普通股票型, 4, 4, -2.69
91665553403412480, 310518, 0P0000UHDX, 申万菱信可转债债券, 可转债基金, 4, 3, 19.24
91665554728812544, 000068, 0P0000YAIC, 民生加银转债优选债券 - C, 可转债基金, 4, 3, 20.68
91665557346058240, 163816, 0P0000TFBS, 中银转债增强债券A, 可转债基金, 4, 4, 5.79
91665558398828544, 470058, 0P0000T395, 汇添富可转换债券A, 可转债基金, 4, 5, 9.41
91665559745200128, 002379, 0P00017B94, 工银瑞信香港中小盘股票（QDII）人民币, 大中华区股票, 4, 4, -1.20
91665560760221696, 002380, 0P00017B95, 工银瑞信香港中小盘股票（QDII）美元, 大中华区股票, 4, 5, -1.53
91665561678774272, 004495, 0P0001A1IO, 博时量化平衡混合, 保守混合型, 4, 0, 19.83
91665562509246464, 002657, 0P0001DKHJ, 招商安裕灵活配置混合A, 保守混合型, 4, 0, 8.54
91665563247443968, 004132, 0P00019RFG, 国联安鑫发混合C, 沪港深保守混合型, 4, 0, 4.37
91665564023390208, 004131, 0P00019RFF, 国联安鑫发混合A, 沪港深保守混合型, 4, 0, 4.69
91665564732227584, 005886, 0P0001D9DN, 华夏鼎沛债券A, 积极债券型, 4, 0, 5.13
91665565470425088, 050011, F0000004FO, 博时信用债券 - A/B, 积极债券型, 4, 5, 6.15
91665566267342848, 502010, 0P000168DY, 易方达证券公司指数（LOF）A, 行业股票 - 金融地产, 4, 2, -1.32
91665566997151744, 000067, 0P0000YAIB, 民生加银转债优选债券 - A, 可转债基金, 4, 4, 21.06
91665567731154944, 002317, 0P00017MX6, 招商睿逸稳健配置混合, 保守混合型, 4, 4, 14.84
91665568444186624, 163817, 0P0000TFBT, 中银转债增强债券B, 可转债基金, 4, 4, 5.53
91665569190772736, 004900, 0P0001BKQD, 财通资管鑫锐回报混合A, 保守混合型, 4, 0, 9.42
91665569895415808, 004901, 0P0001BKQE, 财通资管鑫锐回报混合C, 保守混合型, 4, 0, 9.26
91665570847522816, 470059, 0P0000T396, 汇添富可转换债券C, 可转债基金, 4, 5, 9.12
91665571636051968, 720003, 0P000177R9, 财通收益增强债券A, 积极债券型, 4, 4, 17.63
91665572374249472, 002280, 0P0001CMTN, 华富安享债券, 积极债券型, 4, 0, 13.08
91665573150195712, 002658, 0P0001DKHK, 招商安裕灵活配置混合C, 保守混合型, 4, 0, 8.06
91665573867421696, 005128, 0P0001CG57, 华夏永康添福混合, 保守混合型, 4, 0, 18.97
91665574546898944, 004081, 0P00019RFH, 国联安鑫乾混合A, 沪港深保守混合型, 4, 0, 6.65
91665592783732736, 005887, 0P0001D9DO, 华夏鼎沛债券C, 积极债券型, 4, 0, 4.82
91665593500958720, 050111, F0000004FQ, 博时信用债券 - C, 积极债券型, 4, 5, 5.87
91665594243350528, 005039, 0P0001BI6L, 鹏扬景兴混合A, 保守混合型, 4, 0, 1.74
91665595065434112, 002784, 0P00018N1O, 东方红价值精选混合C, 保守混合型, 4, 0, 3.57
91665595832991744, 486001, F00000044I, 工银瑞信中国机会全球配置股票(QDII)人民币, 环球股票, 4, 4, 1.89
91665596743155712, 004428, 0P0001A99C, 交银施罗德增利增强债券C, 积极债券型, 4, 0, 6.66
91665598001446912, 004760, 0P0001C6E8, 国寿安保稳瑞混合A, 保守混合型, 4, 0, 2.84
91665598764810240, 002513, 0P0001AN8D, 金鹰元安混合C, 保守混合型, 4, 0, 5.59
91665599624642560, 004129, 0P00019RFJ, 国联安鑫汇混合A, 保守混合型, 4, 0, 1.95
91665600371228672, 001202, 0P00015R99, 东方红领先精选混合, 保守混合型, 4, 5, 5.10
91665601101037568, 003512, 0P00018W2G, 申万菱信安鑫优选混合C, 保守混合型, 4, 0, 6.75
91665601822457856, 162205, F0000003XF, 泰达宏利风险预算混合, 保守混合型, 4, 3, 3.87
91665602535489536, 202105, 0P0000PY89, 南方广利回报债券- A/B, 积极债券型, 4, 3, 7.73
91665603361767424, 004688, 0P0001C2CN, 汇添富熙和精选混合C, 保守混合型, 4, 0, 5.57
91665604053827584, 002783, 0P00018N1N, 东方红价值精选混合A, 保守混合型, 4, 0, 3.87
91665604771053568, 164814, 0P00018Q9I, 工银双债增强债券(LOF), 积极债券型, 4, 0, 10.58
91665605454725120, 005040, 0P0001BI6M, 鹏扬景兴混合C, 保守混合型, 4, 0, 1.43
91665606142590976, 005274, 0P0001CROH, 中银景福回报混合, 保守混合型, 4, 0, 4.04
91665607467991040, 165509, 0P0000ZN08, 信诚增强收益债券 (LOF), 积极债券型, 4, 5, 8.85
91665608864694272, 003493, 0P00018W2F, 申万菱信安鑫优选混合A, 保守混合型, 4, 0, 6.86
91665609674194944, 004761, 0P0001C6E9, 国寿安保稳瑞混合C, 保守混合型, 4, 0, 2.78
91665610353672192, 005218, 0P0001BODZ, 华夏聚惠稳健目标风险混合型基金中基金（FOF）A, 保守混合型, 4, 0, 5.78
91665611117035520, 000110, 0P0001AN8C, 金鹰元安混合A, 保守混合型, 4, 0, 5.67
91665611838455808, 005215, 0P0001BOE1, 南方全天候策略混合型基金中基金（FOF）A, 保守混合型, 4, 0, 5.17
91665613415514112, 710301, 0P0000WF28, 富安达增强收益债券A, 积极债券型, 4, 1, -0.10
91665631677513728, 004130, 0P00019RFK, 国联安鑫汇混合C, 保守混合型, 4, 0, 1.65
91665632382156800, 003602, 0P0001913T, 申万菱信安鑫精选混合C, 保守混合型, 4, 0, 3.82
91665633107771392, 000932, 0P000155HP, 前海开源睿远稳健增利混合 - A, 保守混合型, 4, 4, 3.69
91665633892106240, 002966, 0P00018FR7, 中海合嘉增强收益债券C, 积极债券型, 4, 0, 9.68
91665634621915136, 710302, 0P0000WF29, 富安达增强收益债券C, 积极债券型, 4, 1, -0.69
91665635351724032, 610008, 0P0000YI7U, 信达澳银信用债债券 - A, 积极债券型, 4, 3, 12.51
91665636261888000, 675081, 0P0001954C, 西部利得祥盈债券A, 积极债券型, 4, 0, 6.46
91665637092360192, 004302, 0P00019SU4, 国寿安保稳信混合C, 保守混合型, 4, 0, 1.32
91665637792808960, 001722, 0P00019H7F, 工银银和利混合, 保守混合型, 4, 0, 10.09
91665638480674816, 003161, 0P00018J2V, 南方安泰混合A, 保守混合型, 4, 0, 3.24
91665640091287552, 004405, 0P0001BCBF, 国寿安保稳寿混合A, 保守混合型, 4, 0, 4.21
91665641211166720, 675083, 0P0001954D, 西部利得祥盈债券C, 积极债券型, 4, 0, 6.38
91665641949364224, 004756, 0P0001C173, 国寿安保稳吉混合A, 保守混合型, 4, 0, 4.91
91665642746281984, 003601, 0P0001913S, 申万菱信安鑫精选混合A, 保守混合型, 4, 0, 3.97
91665643455119360, 002331, 0P00017IFU, 泰康安泰回报混合, 保守混合型, 4, 3, 4.65
91665644306563072, 005156, 0P0001BODX, 嘉实领航资产配置混合型基金中基金（FOF）A, 保守混合型, 4, 0, 3.53
91665644998623232, 002965, 0P00018FR6, 中海合嘉增强收益债券A, 积极债券型, 4, 0, 9.84
91665645686489088, 202107, 0P0000PY8A, 南方广利回报债券- C, 积极债券型, 4, 3, 7.41
91665646483406848, 005140, 0P0001C97J, 华夏睿磐泰荣混合A, 保守混合型, 4, 0, 7.90
91665647255158784, 004258, 0P00019LX3, 国寿安保稳嘉混合A, 保守混合型, 4, 0, 1.42
91665648018522112, 004301, 0P00019SU3, 国寿安保稳信混合A, 保守混合型, 4, 0, 1.41
91665648786079744, 610108, 0P0000YI7V, 信达澳银信用债债券 - C, 积极债券型, 4, 3, 12.42
91665649633329152, 004259, 0P00019LX4, 国寿安保稳嘉混合C, 保守混合型, 4, 0, 1.35
91665650392498176, 159933, 0P0000ZDIQ, 国投瑞银金融地产ETF, 行业股票 - 金融地产, 4, 5, -4.68
91665651285884928, 004406, 0P0001BCBG, 国寿安保稳寿混合C, 保守混合型, 4, 0, 4.13
91665669514330112, 161115, 0P0000ZXOE, 易方达岁丰添利债券(LOF), 积极债券型, 4, 4, 5.21
91665670248333312, 519134, 0P000188EL, 海富通富祥混合, 积极债券型, 4, 0, 5.51
91665670952976384, 320008, F0000004FI, 诺安增利债券 - A, 积极债券型, 4, 2, 1.08
91665671678590976, 110017, F000000497, 易方达增强回报债券 - A, 积极债券型, 4, 4, 4.06
91665672404205568, 161211, F0000004IY, 国投瑞银沪深300金融地产ETF联接, 行业股票 - 金融地产, 4, 4, -4.94
91665673113042944, 510080, F020510080, 长盛全债指数增强债券, 积极债券型, 4, 4, 7.00
91665673947709440, 006057, 0P0001DIBG, 鹏华丰和债券（LOF）C, 积极债券型, 4, 0, 5.80
91665674685906944, 630007, 0P0000P0SR, 华商稳健双利债券A, 积极债券型, 4, 3, 7.12
91665675415715840, 320009, F0000004H7, 诺安增利债券 - B, 积极债券型, 4, 2, 0.78
91665676132941824, 110018, F000000498, 易方达增强回报债券 - B, 积极债券型, 4, 4, 3.78
91665676850167808, 002739, 0P000180P2, 泓德裕康债券C, 积极债券型, 4, 0, 1.59
91665677567393792, 000171, 0P0000Z7V9, 易方达裕丰回报债券, 积极债券型, 4, 5, 5.14
91665678326562816, 470010, 0P0000WNB5, 汇添富多元收益债券A, 积极债券型, 4, 4, 6.14
91665679131869184, 160621, 0P00016YO3, 鹏华丰和债券(LOF)A, 积极债券型, 4, 4, 6.21
91665679932981248, 166010, 0P0001BMHI, 中欧鼎利债券A, 积极债券型, 4, 0, 7.81
91665680633430016, 470018, 0P00011U3D, 汇添富双利债券A, 积极债券型, 4, 4, 2.67
91665681388404736, 002738, 0P000180P1, 泓德裕康债券A, 积极债券型, 4, 0, 1.86
91665682172739584, 690002, F0000004G8, 民生加银增强收益债券 - A, 积极债券型, 4, 3, 3.19
91665682910937088, 000810, 0P000149XT, 富国收益增强债券A, 积极债券型, 4, 4, 6.31
91665683766575104, 000692, 0P00013DCF, 汇添富双利债券C, 积极债券型, 4, 4, 2.42
91665684882259968, 160814, 0P000162QB, 长盛中证金融地产指数（LOF）, 行业股票 - 金融地产, 4, 4, -8.16
91665687109435392, 202801, F000000444, 南方全球精选配置(QDII-FOF), 环球股票, 4, 3, 0.47
91665690120945664, 002387, 0P00017SKW, 工银沪港深股票A, 香港股票型基金, 4, 0, 0.54
91665690896891904, 002490, 0P0001C5BO, 金鹰元祺信用债债券, 积极债券型, 4, 0, 7.77
91665692041936896, 690202, F0000004G9, 民生加银增强收益债券 - C, 积极债券型, 4, 3, 2.84
91665711180546048, 002640, 0P0001DF1Z, 中信建投睿溢混合A, 保守混合型, 4, 0, -2.10
91665712313008128, 000812, 0P000149XU, 富国收益增强债券C, 积极债券型, 4, 4, 6.01
91665713722294272, 005750, 0P0001D5DR, 平安双债添益债券A, 积极债券型, 4, 0, 7.87
91665715135774720, 630107, 0P0000P0SS, 华商稳健双利债券B, 积极债券型, 4, 3, 6.83
91665715823640576, 000054, 0P0000Y5NL, 鹏华双债增利债券, 积极债券型, 4, 4, 7.87
91665716570226688, 470011, 0P0000WNB6, 汇添富多元收益债券C, 积极债券型, 4, 4, 5.90
91665717300035584, 485014, 0P0000TLEO, 工银添颐债券B, 积极债券型, 4, 3, 7.81
91665718046621696, 164105, 0P0000ZGK7, 华富强化回报债券, 积极债券型, 4, 4, 5.58
91665718801596416, 070015, F0000004CQ, 嘉实多元收益债券A, 积极债券型, 4, 4, 2.37
91665719871143936, 001257, 0P00015ZII, 兴业收益增强债券A, 积极债券型, 4, 4, 7.67
91665720655478784, 070016, F0000004CR, 嘉实多元收益债券B, 积极债券型, 4, 4, 2.22
91665721393676288, 163811, 0P0000Q3Q5, 中银稳健双利债券A, 积极债券型, 4, 3, 2.06
91665722110902272, 002723, 0P000184RG, 江信祺福债券A, 积极债券型, 4, 0, 1.22
91665722823933952, 004952, 0P0001BG21, 兴全恒益债券A, 积极债券型, 4, 0, 5.12
91665723532771328, 485114, 0P0000TLEN, 工银添颐债券A, 积极债券型, 4, 3, 8.15
91665724338077696, 004885, 0P0001B9AO, 长信先优债券, 积极债券型, 4, 0, 6.70
91665725059497984, 161010, F0000004DG, 富国天丰强化债券(LOF), 积极债券型, 4, 3, 10.94
91665726095491072, 110008, F0000003YA, 易方达稳健收益债券 - B, 积极债券型, 4, 4, 7.03
91665727878070272, 004953, 0P0001BG22, 兴全恒益债券C, 积极债券型, 4, 0, 4.82
91665729413185536, 005751, 0P0001D5DS, 平安双债添益债券C, 积极债券型, 4, 0, 7.56
91665730373681152, 110007, F0000003Y9, 易方达稳健收益债券 - A, 积极债券型, 4, 4, 6.79
91665731086712832, 000338, 0P0000ZGJO, 鹏华双债保利债券, 积极债券型, 4, 4, 3.71
91665731845881856, 001862, 0P00016UI3, 东方红收益增强债券A, 积极债券型, 4, 4, 3.93
91665733460688896, 002969, 0P00018XG5, 易方达丰和债券, 积极债券型, 4, 0, 4.68
91665734475710464, 002501, 0P00017MX7, 银华远景债券, 积极债券型, 4, 4, 1.47
91665752842567680, 003336, 0P00018PZK, 长江收益增强债券, 积极债券型, 4, 0, 4.86
91665754256048128, 001863, 0P00016UI4, 东方红收益增强债券C, 积极债券型, 4, 3, 3.63
91665755031994368, 002521, 0P00017VI3, 永赢双利债券A, 积极债券型, 4, 0, 1.19
91665755749220352, 002724, 0P000184RH, 江信祺福债券C, 积极债券型, 4, 0, 0.84
91665756533555200, 050016, 0P0000OQ3W, 博时宏观回报债券A/B, 积极债券型, 4, 4, -2.68
91665757259169792, 004807, 0P0001B8CK, 中银证券安弘债券A, 积极债券型, 4, 0, 5.03
91665758026727424, 003471, 0P0001DGL4, 新疆前海联合添鑫3个月定期开放债券A, 积极债券型, 4, 0, -0.79
91665758773313536, 002932, 0P00018BNE, 圆信永丰强化收益债券A, 积极债券型, 4, 0, 3.71
91665759498928128, 050116, 0P0000OQ3Y, 博时宏观回报债券 - C, 积极债券型, 4, 4, -2.92
91665760195182592, 501021, 0P00018220, 华宝兴业标普香港上市中国中小盘指数(QDII-LOF)A, 大中华区股票, 4, 3, -2.50
91665760945963008, 002961, 0P0001974X, 中欧双利债券A, 积极债券型, 4, 0, 1.70
91665761679966208, 002933, 0P00018BNF, 圆信永丰强化收益债券C, 积极债券型, 4, 0, 3.45
91665762430746624, 002362, 0P00017BUH, 国富恒瑞债券C, 积极债券型, 4, 4, 4.57
91665763684843520, 005078, 0P0001CIND, 富国宝利增强债券, 积极债券型, 4, 0, 7.09
91665765198987264, 163812, 0P0000Q3Q6, 中银稳健双利债券B, 积极债券型, 4, 3, 1.84
91665767052869632, 161723, 0P00015XPY, 招商中证银行指数（LOF）, 行业股票 - 金融地产, 4, 5, 1.27
91665768499904512, 070020, 0P0000P3GH, 嘉实稳固收益债券C, 积极债券型, 4, 4, 2.83
91665769225519104, 000973, 0P000155LJ, 新华增盈回报债券, 积极债券型, 4, 4, 1.23
91665770169237504, 000045, 0P0000Y3WR, 工银产业债券A, 积极债券型, 4, 4, 2.86
91665771117150208, 168205, 0P000163Y4, 中融中证银行指数（LOF）, 行业股票 - 金融地产, 4, 4, -0.19
91665771901485056, 002361, 0P00017BUG, 国富恒瑞债券A, 积极债券型, 4, 4, 4.95
91665772727762944, 395011, 0P0000SHVS, 中海增强收益债券 - A, 普通债券型, 4, 3, 4.13
91665773734395904, 000046, 0P0000Y3WS, 工银产业债券B, 积极债券型, 4, 4, 2.58
91665774460010496, 003429, 0P00018UBV, 中证兴业中高等级信用债指数, 信用债, 4, 0, 10.84
91665775164653568, 163007, 0P000187QV, 长信利众债券（LOF）A, 普通债券型, 4, 5, 7.66
91665793376321536, 161216, 0P00012K9G, 国投瑞银双债增利债券A, 普通债券型, 4, 5, 6.57
91665794122907648, 160418, 0P000162YX, 华安中证银行, 行业股票 - 金融地产, 4, 4, 2.49
91665794928214016, 360008, F0000004D7, 光大保德信增利收益债券A, 普通债券型, 4, 4, 6.23
91665795699965952, 164208, 0P00014OJK, 天弘丰利债券 (LOF), 普通债券型, 4, 4, 8.38
91665796459134976, 160622, 0P00017YMD, 鹏华丰利债券（LOF）, 普通债券型, 4, 4, 6.43
91665797180555264, 163005, 0P00017F7X, 长信利众债券（LOF）C, 普通债券型, 4, 3, 7.37
91665797901975552, 360009, F0000004D6, 光大保德信增利收益债券C, 普通债券型, 4, 4, 6.06
91665798619201536, 750003, 0P0000WUGN, 安信目标收益债券C, 普通债券型, 4, 4, 9.28
91665799365787648, 519666, F00000041Y, 银河银信添利债券 - B, 普通债券型, 4, 4, 4.73
91665800221425664, 121009, F00000044H, 国投瑞银稳定增利债券, 普通债券型, 4, 3, 4.75
91665800963817472, 202103, F0000004HI, 南方多利增强债券 - A, 普通债券型, 4, 3, 5.66
91665801706209280, 395001, F00000049F, 中海稳健收益债券, 普通债券型, 4, 2, 5.10
91665802633150464, 000070, 0P0000YGC9, 国投瑞银中高等级债券C, 普通债券型, 4, 4, 5.29
91665803404902400, 395012, 0P0000SHVT, 中海增强收益债券 - C, 普通债券型, 4, 3, 3.89
91665804247957504, 550018, 0P0000XUWH, 信诚优质纯债 - A, 普通债券型, 4, 4, 3.76
91665805028098048, 550004, F0000004CS, 信诚三得益债券 - A, 积极债券型, 4, 4, 0.85
91665805837598720, 519667, F0000004AJ, 银河银信添利债券 - A, 普通债券型, 4, 4, 5.04
91665806529658880, 005160, 0P0001BSWI, 华泰保兴尊合债券C, 普通债券型, 4, 0, 5.77
91665807276244992, 161221, 0P00012K9H, 国投瑞银双债增利债券C, 普通债券型, 4, 4, 6.27
91665808152854528, 163819, 0P00015VSW, 中银信用增利债券 (LOF)A, 普通债券型, 4, 3, 5.61
91665808916217856, 550019, 0P0000XUWI, 信诚优质纯债 - B, 普通债券型, 4, 4, 3.47
91665809650221056, 000069, 0P0000YGC8, 国投瑞银中高等级债券A, 普通债券型, 4, 4, 5.47
91665810367447040, 161505, 0P00013267, 银河通利债券(LOF) - A, 普通债券型, 4, 3, 2.48
91665811269222400, 100018, F020100018, 富国天利增长债券, 普通债券型, 4, 4, 4.98
91665812129054720, 003425, 0P00018X1A, 江信添福债券A, 普通债券型, 4, 0, 4.13
91665830332334080, 217022, 0P0000VK5Y, 招商产业债券A, 普通债券型, 4, 5, 4.86
91665831083114496, 161716, 0P00015I99, 招商双债增强债券(LOF)C, 普通债券型, 4, 5, 4.59
91665831829700608, 253060, 0P0000V1OD, 国联安信心增长债券A, 普通债券型, 4, 3, 1.34
91665832588869632, 001235, 0P00016MQQ, 中银国有企业债A, 普通债券型, 4, 4, 4.09
91665833457090560, 400030, 0P00014NH6, 东方添益债券, 信用债, 4, 3, 5.39
91665834363060224, 164808, 0P00011WRZ, 工银四季收益债券(LOF), 普通债券型, 4, 3, 4.92
91665835113840640, 253061, 0P0000V1OE, 国联安信心增长债券B, 普通债券型, 4, 2, 1.12
91665835847843840, 001868, 0P00016Q9R, 招商产业债券C, 普通债券型, 4, 4, 4.47
91665836644761600, 000025, 0P0000Y3WN, 大摩双利增强债券C, 普通债券型, 4, 4, 2.35
91665837353598976, 162712, 0P00013Y2J, 广发聚利债券(LOF) A, 普通债券型, 4, 3, 4.16
91665838058242048, 161713, 0P00016H1K, 招商信用添利债券(LOF)A, 普通债券型, 4, 4, 4.85
91665838846771200, 003999, 0P00019VTR, 富荣富祥纯债债券, 信用债, 4, 0, 2.25
