代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
91664621361954816, 002340, 0P00017KSZ, 富国价值优势混合, 沪港深灵活配置型, 5, 5, 18.89
91664622263730176, 001039, 0P00015T6Z, 嘉实先进制造股票, 普通股票型, 5, 4, 21.66
91664623010316288, 002980, 0P00018HA3, 华夏创新前沿股票, 普通股票型, 5, 0, 10.22
91664623761096704, 519095, 0P0000OP9P, 新华行业周期轮换混合, 积极配置型, 5, 4, 23.06
91664624511877120, 000547, 0P000123ZD, 建信健康民生混合, 积极配置型, 5, 5, 34.73
91664625266851840, 040035, 0P0000WI7B, 华安逆向策略混合, 积极配置型, 5, 4, 20.18
91664625992466432, 001070, 0P00015FPY, 建信信息产业股票, 行业股票 - 科技、传媒及通讯, 5, 5, 30.21
91664626831327232, 270028, 0P0000TVGO, 广发制造业精选混合A, 积极配置型, 5, 3, 15.99
91664627586301952, 400032, 0P00015CVE, 东方主题精选混合, 积极配置型, 5, 3, 38.09
91664628316110848, 004640, 0P0001B7FB, 华夏节能环保股票, 普通股票型, 5, 0, 10.16
91664629054308352, 004075, 0P00019RNV, 交银施罗德医药创新股票, 行业股票 - 医药, 5, 0, 8.87
91664629763145728, 206012, 0P0000VN9R, 鹏华价值精选股票, 普通股票型, 5, 4, 18.74
91664630530703360, 960003, 0P00017AFI, 汇丰晋信动态策略混合H, 积极配置型, 5, 4, 37.10
91664631281483776, 002482, 0P00017ZBF, 宝盈互联网沪港深混合, 沪港深积极配置型, 5, 5, 10.58
91664632049041408, 001718, 0P000175SJ, 工银物流产业股票, 普通股票型, 5, 5, 25.14
91664632804016128, 290011, 0P0000U02T, 泰信中小盘精选混合, 积极配置型, 5, 3, 17.41
91664651103764480, 519727, 0P0000YMY5, 交银成长30混合, 积极配置型, 5, 4, -0.46
91664651800018944, 001009, 0P000159EI, 上投摩根安全战略股票, 普通股票型, 5, 4, 13.65
91664652659851264, 166019, 0P0000YI7R, 中欧价值智选回报混合A, 积极配置型, 5, 4, 35.53
91664653431603200, 001766, 0P00016JIH, 上投摩根医疗健康股票, 行业股票 - 医药, 5, 5, 8.97
91664654190772224, 519704, 0P0000T3GY, 交银先进制造混合, 积极配置型, 5, 5, 18.57
91664654941552640, 519089, F0000004AN, 新华优选成长混合, 积极配置型, 5, 3, 26.85
91664655692333056, 000803, 0P000148Y4, 工银研究精选股票, 普通股票型, 5, 4, 14.15
